Recency,Frequency,MonetaryTotal,MonetaryAvg,MonetaryStd,MonetaryMin,TotalQuantity,AvgQtyPerTrans,MinQuantity,MaxQuantity,CustomerTenure,FirstPurchase,PreferredDay,PreferredHour,PreferredMonth,WeekendRatio,AvgDaysBetween,UniqueDesc,AvgProdPerTrans,UniqueCountries,NegQtyCount,ZeroPriceCount,CancelledTrans,ReturnRatio,TotalTrans,AvgLinesPerInv,Age,SupportTickets,Satisfaction,Churn,RFMSegment,AgeCategory,PreferredTime,LoyaltyLevel,ChurnRisk,BasketSize,RegYear,RegMonth,RegDay,RegWeekday,IP_IsPrivate,IP_FirstOctet,MonetaryPerDay,AvgBasketValue,TenureRatio,FrequencyRatio,Country_TargetEnc,CustomerType_Hyperactif,CustomerType_Nouveau,CustomerType_Occasionnel,CustomerType_Perdu,CustomerType_Régulier,FavoriteSeason_Automne,FavoriteSeason_Hiver,FavoriteSeason_Printemps,FavoriteSeason_Été,Region_Asie,Region_Autre,Region_Europe_C,Region_Europe_E,Region_Europe_N,Region_Europe_S,Region_UK,WeekendPref_Inconnu,WeekendPref_Semaine,WeekendPref_Weekend,ProdDiversity_Explorateur,ProdDiversity_Modéré,ProdDiversity_Spécialisé,Gender_F,Gender_Unknown,AccountStatus_Active,AccountStatus_Closed,AccountStatus_Pending,AccountStatus_Suspended
110,47,6816.15,148.38,6.83,199.55,987,20.96,-2137,5557,337,205,0,15,1,0.102,96.8,469,8.82,2,65,4,5,0.056,1569,30.48,76.98434214037634,4.0,4.0,0,2,5,4,3,0,0,2019,1,2,2,0,108,61.40675675675676,145.02446808510638,0.3254437869822485,0.1390532544378698,0.19736842105263158,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0
124,4,5792.41,500.0,56.02,1516.49,32,6.8,-227,6440,140,39,5,20,10,0.202,28.9,877,100.0,4,69,21,7,0.754,3817,100.0,78.87993896492515,1.0,1.0,0,1,5,4,2,0,2,2017,8,8,3,1,192,46.33928,1448.1025,0.8794326241134752,0.028368794326241134,0.19736842105263158,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,1,0,0,0
114,8,2646.8,300.21,37.3,113.96,224,28.88,-4651,5215,228,158,6,6,9,0.723,163.4,666,83.28,4,92,13,43,0.526,8834,100.0,66.69356378809353,2.0,5.0,1,1,5,4,3,3,0,2017,8,8,3,1,192,23.015652173913043,330.85,0.4978165938864629,0.034934497816593885,0.25,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
88,12,3135.61,248.51,65.01,1280.39,108,8.77,-3619,5349,138,7,2,3,8,0.304,79.9,875,72.13,1,64,39,10,0.665,2391,100.0,28.59964607982362,9.0,3.0,1,1,1,1,2,3,1,2023,3,9,3,1,192,35.23157303370787,261.30083333333334,0.6330935251798561,0.08633093525179857,0.18386491557223264,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1
123,19,4969.14,266.86,24.4,891.97,95,7.49,-1441,919,258,124,3,4,6,0.645,138.4,363,19.42,2,54,0,28,0.471,1907,100.0,49.40841787345389,10.0,3.0,0,3,-1,2,3,0,1,2017,8,8,3,1,192,40.07370967741936,261.53368421052636,0.4749034749034749,0.07335907335907337,0.18386491557223264,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0
235,19,6708.11,329.33,98.76,287.91,532,27.72,-877,4460,583,162,4,16,12,0.211,335.3,363,17.15,2,80,12,32,0.147,8154,100.0,44.66148676314921,0.0,4.0,0,0,2,3,3,3,0,2017,8,8,3,1,192,28.424194915254237,353.05842105263156,0.4023972602739726,0.032534246575342464,0.19736842105263158,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0
141,13,1395.34,59.52,35.81,641.96,143,12.22,-4763,5114,720,330,6,22,2,0.529,213.5,386,29.39,1,95,26,0,0.261,8322,100.0,43.28262844282659,0.0,5.0,0,1,2,0,3,1,-1,2009,7,9,3,0,144,9.826338028169014,107.33384615384615,0.1955617198335645,0.018030513176144243,0.18386491557223264,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0
200,28,7804.72,364.39,96.26,2166.64,420,14.56,-6214,2766,229,227,4,10,11,0.103,154.2,677,26.01,1,43,48,26,0.463,9154,100.0,27.02693474589536,8.0,4.0,0,3,1,3,3,1,1,2017,8,8,3,1,10,38.82945273631841,278.74,0.8695652173913043,0.12173913043478261,0.29411764705882354,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0
53,20,5692.0,276.02,70.0,1525.01,460,19.21,-7277,7190,524,106,4,3,1,0.043,216.7,42,2.65,5,36,47,7,0.919,8266,100.0,20.520502631022516,11.0,2.0,0,2,0,3,3,0,2,2017,8,8,3,1,192,105.4074074074074,284.6,0.10095238095238095,0.0380952380952381,0.18386491557223264,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0
82,42,6610.99,119.71,65.79,1551.06,672,17.2,-703,6366,560,115,3,17,10,0.55,38.1,809,19.34,1,37,16,12,0.068,7068,100.0,33.66190026257292,2.0,4.0,0,1,1,4,3,1,1,2017,8,8,3,0,75,79.65048192771084,157.4045238095238,0.14616755793226383,0.0748663101604278,0.18386491557223264,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1
